,# ingredient id,ingredient name,compound id
0,1392,abies alba,906
1,1259,abies alba pine needle,861
2,1079,abies balsamea oil,673
3,22,abies canadensis,906
4,103,abies concolor,906
5,1005,abies sibirica,906
6,1005,abies sibirica,278
7,1005,abies sibirica,171
8,371,acacia,387
9,371,acacia,165
10,371,acacia,1099
11,371,acacia,375
12,371,acacia,519
13,371,acacia,587
14,371,acacia,171
15,382,acacia caven,847
16,382,acacia caven,611
17,1249,acacia dealbata,724
18,1097,acacia farnesiana,204
19,1097,acacia farnesiana,94
20,281,acacia farnesiana oil,94
21,27,acacia flower oil,165
22,564,achasma walang,64
23,307,achillea ageratum,288
24,307,achillea ageratum,577
25,307,achillea ageratum,136
26,279,achillea micrantha oil,602
27,1459,achillea millefolium,238
28,521,aconitum napellus,797
29,818,agaricus,283
30,65,agarwood,635
31,358,agastache formosana,540
32,11,agastache rugosa,700
33,1288,agathosma gnidioides leaf oil,1052
34,1303,alcoholic beverage,608
35,896,algae,1026
36,1500,algerian geranium oil,599
37,18,almond,541
38,18,almond,72
39,18,almond,107
40,18,almond,195
41,18,almond,669
42,18,almond,871
43,18,almond,1064
44,18,almond,890
45,18,almond,568
46,1047,almond flower,387
47,1047,almond flower,375
48,1047,almond flower,166
49,1047,almond flower,519
50,1047,almond flower,587
51,1047,almond flower,171
52,600,alpinia malaccensis,155
53,600,alpinia malaccensis,347
54,1205,alpinia malaccensis oil,155
55,1341,alpinia sessilis,448
56,1477,ambergris oil,711
57,1272,ambrette,29
58,979,ambrette seed,29
59,979,ambrette seed,166
60,979,ambrette seed,703
61,979,ambrette seed,951
62,812,ambrette seed oil,29
63,812,ambrette seed oil,166
64,981,american cranberry,406
65,981,american cranberry,997
66,981,american cranberry,542
67,981,american cranberry,913
68,981,american cranberry,611
69,981,american cranberry,283
70,981,american cranberry,148
71,981,american cranberry,166
72,981,american cranberry,583
73,981,american cranberry,1029
74,981,american cranberry,288
75,981,american cranberry,607
76,829,american pennyroyal,913
77,397,american peppermint,549
78,397,american peppermint,791
79,397,american peppermint,599
80,397,american peppermint,496
81,68,american peppermint oil,791
82,68,american peppermint oil,599
83,68,american peppermint oil,496
84,708,american potato chip,109
85,708,american potato chip,247
86,708,american potato chip,429
87,492,american sassafras oil,620
88,99,american storax,762
89,99,american storax,347
90,1087,ananas sativus,91
91,1087,ananas sativus,918
92,1135,ananas sativus oil,91
93,1040,andropogon gragrans,791
94,1456,andropogon intermedius,292
95,1056,andropogon jwarancusa,260
96,1056,andropogon jwarancusa,524
97,725,angelica,793
98,725,angelica,673
99,725,angelica,974
100,725,angelica,995
101,420,angelica oil,793
102,420,angelica oil,673
103,420,angelica oil,995
104,1229,angelica root,612
105,1229,angelica root,424
106,1229,angelica root,177
107,1229,angelica root,709
